0,1.00002,0.517273,398.549
0.1,1.00026,0.477934,393.347
0.2,1.00031,0.513902,400.427
0.3,1,0.505019,396.53
0.4,1.00034,0.487115,394.37
0.5,1.00022,0.498201,400.953
0.6,1.00004,0.516498,394.768
0.7,1.00039,0.490048,396.044
0.8,1.00012,0.493783,400.697
0.9,1.00011,0.518162,393.532
1,1.00039,0.482857,398.022
1.1,1.00004,0.501528,399.38
1.2,1.00021,0.509887,393.146
1.3,1.00035,0.5029,399.671
1.4,1.00001,0.477962,397.617
1.5,1.0003,0.523815,393.718
1.6,1.00027,0.488857,400.846
1.7,1.00001,0.497744,395.669
1.8,1.00037,0.506731,395.133
1.9,1.00017,0.507137,400.918
2,1.00007,0.47722,394.07
2.1,1.0004,0.515717,396.947
2.2,1.00008,0.505468,400.157
2.3,1.00016,0.485948,393.245
2.4,1.00038,0.50816,398.927
2.5,1.00002,0.504353,398.589
2.6,1.00025,0.48835,393.33
2.7,1.00031,0.499832,400.322
2.8,1,0.521604,396.614
2.9,1.00034,0.476744,394.302
3,1.00022,0.506907,401.011
3.1,1.00004,0.504146,394.824
3.2,1.00039,0.498972,396.042
3.3,1.00012,0.48831,400.691
3.4,1.00011,0.524954,393.53
3.5,1.00039,0.481152,397.952
3.6,1.00005,0.497157,399.403
3.7,1.0002,0.51157,393.147
3.8,1.00035,0.500872,399.708
3.9,1.00001,0.486937,397.653
4,1.0003,0.514059,393.739
4.1,1.00027,0.498345,400.817
4.2,1.00001,0.483113,395.65
4.3,1.00037,0.520107,395.089
4.4,1.00017,0.498054,400.92
4.5,1.00007,0.4907,394.091
4.6,1.0004,0.499881,396.961
4.7,1.00008,0.515876,400.214
4.8,1.00015,0.476143,393.233
4.9,1.00038,0.518221,398.895
5,1.00002,0.500451,398.568
5.1,1.00025,0.491338,393.298
5.2,1.00031,0.494003,400.288
5.3,1,0.521601,396.688
5.4,1.00034,0.482752,394.286
5.5,1.00022,0.502334,401.044
5.6,1.00004,0.511064,394.854
5.7,1.00039,0.487858,395.969
5.8,1.00013,0.49688,400.649
5.9,1.00011,0.5151,393.575
6,1.00039,0.497524,397.843
6.1,1.00005,0.482641,399.522
6.2,1.0002,0.52167,393.151
6.3,1.00035,0.488052,399.689
6.4,1.00001,0.498918,397.709
6.5,1.0003,0.506283,393.681
6.6,1.00027,0.508569,400.728
6.7,1.00001,0.47392,395.75
6.8,1.00037,0.521072,394.99
6.9,1.00017,0.498423,400.993
7,1.00007,0.492381,394.159
7.1,1.0004,0.503334,396.929
7.2,1.00008,0.509724,400.209
7.3,1.00015,0.481236,393.258
7.4,1.00038,0.507414,398.774
7.5,1.00002,0.514953,398.642
7.6,1.00025,0.481449,393.28
7.7,1.00032,0.504382,400.316
7.8,1,0.506321,396.752
7.9,1.00033,0.495744,394.286
8,1.00022,0.490777,401.007
8.1,1.00003,0.525338,394.864
8.2,1.00039,0.478415,395.899
8.3,1.00013,0.501145,400.68
8.4,1.0001,0.507384,393.582
8.5,1.00039,0.504286,397.886
8.6,1.00005,0.482787,399.549
8.7,1.0002,0.520939,393.164
8.8,1.00035,0.490182,399.651
8.9,1.00001,0.490319,397.684
9,1.00029,0.514133,393.656
9.1,1.00027,0.503108,400.72
9.2,1.00001,0.485583,395.789
9.3,1.00036,0.506093,395.01
9.4,1.00018,0.510045,401.022
9.5,1.00006,0.479189,394.163
9.6,1.0004,0.517734,396.872
9.7,1.00009,0.500332,400.19
9.8,1.00015,0.491368,393.248
9.9,1.00038,0.493617,398.729
